,CRASH_NUMB,CRASH_DATE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,CRASH_SEVERITY_DESCR,IS_SEVERE,NUMB_VEHC,NUMB_NONFATAL_INJR,NUMB_FATAL_INJR,WEATH_COND_DESCR,WEATHER_SIMPLE,ROAD_SURF_COND_DESCR,ROAD_SIMPLE,AMBNT_LIGHT_DESCR,LIGHTING_SIMPLE,MANR_COLL_DESCR,SPEED_LIMIT,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON
73339,5564426,2025-08-01 06:29:00+00:00,6,Friday,August,0,Non-fatal injury,1,2,2,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,55.0,Not at junction,No controls,42.29280506,-71.04440986
73355,5564410,2025-08-21 16:09:00+00:00,16,Thursday,August,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Front to Front,25.0,Four-way intersection,Stop signs,42.31168892,-71.08586175
73358,5564407,2025-08-21 17:30:00+00:00,17,Thursday,August,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Dusk,Dawn/Dusk,Rear to Side,25.0,T-intersection,Stop signs,42.30451728,-71.0559726
73363,5564402,2025-08-21 12:27:00+00:00,12,Thursday,August,0,Property damage only (none injured),0,2,0,0,Cloudy,Cloudy,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",25.0,Not at junction,No controls,42.27470256,-71.11996969
73365,5564400,2025-08-17 18:28:00+00:00,18,Sunday,August,1,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,45.0,On-ramp,Yield signs,42.37357997,-71.0380447
73429,5564680,2025-08-22 19:30:00+00:00,19,Friday,August,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,25.0,T-intersection,No controls,42.30212239,-71.07759012
73468,5564641,2025-08-22 13:46:00+00:00,13,Friday,August,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Not at junction,No controls,42.31268887,-71.05726759
73472,5564846,2025-08-18 13:39:00+00:00,13,Monday,August,0,Non-fatal injury,1,2,1,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",35.0,Four-way intersection,Traffic control signal,42.31363598,-71.04670488
73477,5564841,2025-07-29 11:42:00+00:00,11,Tuesday,July,0,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,25.0,Five-point or more,Traffic control signal,42.28685552,-71.04230794
73480,5564838,2025-08-10 11:39:00+00:00,11,Sunday,August,1,Non-fatal injury,1,2,1,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,55.0,Not at junction,No controls,42.32414669,-71.05560549
73490,5564828,2025-08-22 14:04:00+00:00,14,Friday,August,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,25.0,Not at junction,No controls,42.28571899,-71.15592353
73507,5564811,2025-08-19 15:16:00+00:00,15,Tuesday,August,0,Property damage only (none injured),0,4,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,10.0,Not at junction,No controls,42.33883945,-71.01512576
73508,5564810,2025-08-12 05:56:00+00:00,5,Tuesday,August,0,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,55.0,Not at junction,No controls,42.32402855,-71.05550438
73513,5564805,2025-08-18 20:20:00+00:00,20,Monday,August,0,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Angle,30.0,Not at junction,No controls,42.28685552,-71.04230794
